ranking_group,rank,node,entity_type,total_degree,pagerank,betweenness,relation_diversity,influence_score,betweenness_x_diversity,in_degree,out_degree,degree_gap,flow_pattern,avg_edge_confidence,max_edge_confidence,total_edge_frequency
top_collectors,9,bảo hiểm,INDUSTRY,,,,,0.1034174702243984,,9.0,2.0,-7.0,collector,,,
top_collectors,10,5.000 USD,UNKNOWN,,,,,0.0658002791756945,,7.0,0.0,-7.0,collector,,,
high_confidence_low_connectivity,1,Ngô Bình Nguyên,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,2,Đỗ Nguyệt Ánh,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,3,Nguyễn Hoàng Hải,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,4,Trương Sơn Lâm,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,5,Trương Thu Hoà,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,6,Nguyễn Thị Mai Thanh,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
high_confidence_low_connectivity,7,Trần Hùng Huy,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,2.0
high_confidence_low_connectivity,8,Gates,PERSON,1.0,,,,,,,,,,0.8500000238418579,0.8500000238418579,1.0
