log_pagerank,pr_per_degree,in_out_ratio,object_mean_confidence,in_degree,object_total_frequency,ego_max_degree,object_relation_types,ego_mean_degree,object_mean_frequency,log_in_degree,log_out_degree,subject_relation_types,subject_mean_confidence,is_high_pagerank,subject_mean_frequency,out_degree,triple_total_appearances,triple_overall_conf_mean,type_PERSON,triple_rel_type_coverage,entity_type_freq,has_rel_HỢP_TÁC,type_MONEY,ego_type_diversity,type_UNKNOWN,log_betweenness,type_INDUSTRY,type_ORGANIZATION,has_rel_LÃNH_ĐẠO,bw_per_degree,type_PRODUCT,type_EVENT,ego_density,has_rel_SẢN_XUẤT,type_PERCENT,has_rel_ĐẦU_TƯ,type_LOCATION,is_bridge,ego_triangles
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,3.5,-1.0,4.65985401459854,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42087542315597853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7452763487744462,0.8000353061769077,0.999999999,0.1874423673257252,0.0,0.0,-0.16666666666666666,0.0,-0.2218978102189781,0.0,0.0,-1.0,-1.0,-0.8808078091401899,0.0,-1.0,-1.0,0.0,0.8409091564751128,0.0,0.0,0.007194244604316713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,-0.16666666666666666,-1.0,-0.2218978102189781,-1.0,-1.0,0.0,0.0,0.18861870996306182,0.0,0.0,0.0,0.0,0.8409091564751128,1.0,0.0,-0.9928057553956833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42087542315597853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,-0.16666666666666666,-1.0,-0.2218978102189781,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42087542315597853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,-0.16666666666666666,-1.0,-0.2218978102189781,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42087542315597853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3035955180094065,4.278895278465011,7.500000620552783e-19,0.1518358201333711,3.0,3.0,17.5,1.0,6.509002433090024,0.0,1.3219280948873622,1.3219280948873622,2.0,0.08040518482586417,1.0,0.0,3.0,7.0,7.031355404863172,0.0,4.0,0.007194244604316713,1.0,0.0,3.0,0.0,0.4140311387672239,0.0,1.0,1.0,51290.423612376966,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,-1.0,1.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,-0.16666666666666666,-1.0,-0.2218978102189781,-1.0,-1.0,0.0,0.0,0.1746516220238718,0.0,0.0,0.0,0.0,0.7474748615026116,1.0,0.0,-0.9928057553956833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7452763487744462,0.8000353061769077,0.0,0.18719223595504858,0.0,0.0,-0.16666666666666666,0.0,-0.2218978102189781,0.0,0.0,0.0,0.0,0.1883670088288336,0.0,0.0,0.0,1.0,7.991582098186361,0.0,1.0,0.007194244604316713,0.0,0.0,1.0,0.0,0.00018833072029903172,0.0,1.0,1.0,18.834845564248837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2547236512255539,-0.1999646938230924,-9.999999990000001e-10,-0.875314548257462,-1.0,-1.0,-0.16666666666666666,-1.0,-0.2218978102189781,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42087542315597853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
